region_id,region_name,country,color
2702,Teboucha (Saharan Atlas),Abannaea,#d96213
2810,Ibel (Saharan Atlas),Abannaea,#d96213
2811,Djelfa (Saharan Atlas),Abannaea,#d96213
2812,Moudjebara (Saharan Atlas),Abannaea,#d96213
2813,Errich (Saharan Atlas),Abannaea,#d96213
2814,Slimane (Saharan Atlas),Abannaea,#d96213
2815,Chioukh (Saharan Atlas),Abannaea,#d96213
2816,Mcif (Saharan Atlas),Abannaea,#d96213
2817,Khoubana (Saharan Atlas),Abannaea,#d96213
2818,Gahra (Saharan Atlas),Abannaea,#d96213
2819,Hamel (Saharan Atlas),Abannaea,#d96213
3008,Leukas (Aetolia),Acarnania,#86EFAC
3009,Thyrrheion (Aetolia),Acarnania,#86EFAC
3010,Stratos (Aetolia),Acarnania,#86EFAC
678,'Akol (Byzacena),Achola,#4ADE80
2486,Kerkennah (Byzacena),Achola,#4ADE80
812,Acinippo  (Conventus Gaditanus),Acinippo,#e1b3e0
2409,Acragas (Sicily),Acragas,#6366F1
947,Adagaiman,Adagaiman,#DB2777
447,Adiabene,Adiabene,#16A5A5
80,Adoulia,Adoulia,#B0BC00
332,Aedui,Aedui,#68BC00
527,Gdansk,Aestia,#68CCCA
528,Elblag,Aestia,#68CCCA
529,Olszytyn,Aestia,#68CCCA
530,Lidzbark,Aestia,#68CCCA
1761,Gizycko,Aestia,#68CCCA
3006,Zakynthos (Elis),Aetolia,#808080
3007,Kranioi (Aetolia),Aetolia,#808080
3011,Thermos (Aetolia),Aetolia,#808080
3012,Naupaktos (Aetolia),Aetolia,#808080
3013,Oeniadae (Aetolia),Aetolia,#808080
2753,Agadir (Souss),Agadir,#7C3AED
563,Pidhaitsi,Agathyrsi,#acf9ce
564,Dubno,Agathyrsi,#acf9ce
565,Lanivtsi,Agathyrsi,#acf9ce
566,Zovste,Agathyrsi,#acf9ce
776,Aigion (Achaea),Aigion,#73D8FF
924,Ailao,Ailao,#9CA3AF
1179,Aki,Aki,#93C5FD
2371,Isinisca,Alauni,#A2FA7C
2372,Atobrigia,Alauni,#A2FA7C
2373,Iuvavum,Alauni,#A2FA7C
2374,Innaba,Alauni,#A2FA7C
2375,Laciacum,Alauni,#A2FA7C
2378,Tergolape,Alauni,#A2FA7C
2379,Stanacum,Alauni,#A2FA7C
2380,Ioviacum,Alauni,#A2FA7C
180,Albosenses,Albosenses,#FCDC00
330,Allobriges,Allobriges,#CCCCCC
1126,Amakusa,Amakusa,#FB923C
1131,Nagashima,Amakusa,#FB923C
1164,Goshouramachi,Amakusa,#FB923C
1165,Shishijima,Amakusa,#FB923C
2316,Teurnia,Ambidravi,#14532D
2334,In Murio,Ambisonti,#16A34A
2335,Anisus,Ambisonti,#16A34A
3804,Amblada (Pisidia),Ambladia,#166534
3806,Misteia (Isauria),Ambladia,#166534
3017,Ambracia (Epirus),Ambrakia,#831843
509,Ambronia,Ambronia,#c45c1e
805,Amisos,Amisos,#009CE0
213,Amphissa (Aetolia),Amphissa,#009CE0
1491,Karakol,Amyrgia,#e7fec5
1492,Tekes,Amyrgia,#e7fec5
1493,Oulja,Amyrgia,#e7fec5
1497,Kara-Balta,Amyrgia,#e7fec5
1498,Almaty,Amyrgia,#e7fec5
1499,Karatau,Amyrgia,#e7fec5
1177,Chōshū,Ana,#FCA5A5
2217,Clastidium (Transpadana),Anamaria,#FEF5C5
2218,Placentia (Aemilia),Anamaria,#FEF5C5
391,Anartes,Anartes,#FE9200
2309,Vadena (Rhaetica),Anauni,#F5CDCD
602,Tonghe,Anchegu,#16A34A
711,Ancona (Picenum),Ancona,#0C797D
289,Andhra,Andhra,#4C1D95
367,Andizeti,Andizeti,#f73c3c
1674,Beloomut,Androphagi,#CCCCCC
1675,Obninsk,Androphagi,#CCCCCC
1685,Skopin,Androphagi,#CCCCCC
1686,Mtsensk,Androphagi,#CCCCCC
1687,Tula,Androphagi,#CCCCCC
1688,Mosalsk,Androphagi,#CCCCCC
1689,Ugra,Androphagi,#CCCCCC
1690,Kaluga,Androphagi,#CCCCCC
1691,Vyazma,Androphagi,#CCCCCC
1692,Belyy,Androphagi,#CCCCCC
1693,Liozna,Androphagi,#CCCCCC
1116,Andros (Euboea),Andros,#93C5FD
1117,Syros (Cyclades),Andros,#93C5FD
1118,Tenos (Euboea),Andros,#93C5FD
504,Anglia,Angles,#D33115
599,Bulgan,Anhou,#6B7280
390,Ansanemes,Ansanemes,#E27300
79,Antilibanus Mons,Antigonid Kingdom,#CA8A04
88,Kadasa (South Phoenicia),Antigonid Kingdom,#CA8A04
90,Hor Lebanon,Antigonid Kingdom,#CA8A04
91,Bargylus Mons,Antigonid Kingdom,#CA8A04
93,Beloi Mons (Pieria),Antigonid Kingdom,#CA8A04
118,Syrian Gates (Cilicia),Antigonid Kingdom,#CA8A04
129,Amanian Gates (Cilicia),Antigonid Kingdom,#CA8A04
130,Amanus Mountains (CIlicia),Antigonid Kingdom,#CA8A04
156,Cilician Taurus Mountains,Antigonid Kingdom,#CA8A04
227,Lesbos (Aeolis),Antigonid Kingdom,#CA8A04
417,Commagenian Gates (Cilicia),Antigonid Kingdom,#CA8A04
430,Isaurian Taurus Mountains (Isauria),Antigonid Kingdom,#CA8A04
449,Alalis (Palmyrene),Antigonid Kingdom,#CA8A04
783,Chalkis (Euboea),Antigonid Kingdom,#CA8A04
801,Gelil (South Phoenicia),Antigonid Kingdom,#CA8A04
802,Lycaonian Taurus Mountains (Lycaonia),Antigonid Kingdom,#CA8A04
810,Chios (Ionia),Antigonid Kingdom,#CA8A04
1098,Samos (Ionia),Antigonid Kingdom,#CA8A04
1099,Ikaria (Ionia),Antigonid Kingdom,#CA8A04
1101,Leros (Sporades),Antigonid Kingdom,#CA8A04
1112,Salamis (Attica),Antigonid Kingdom,#CA8A04
1113,Aegina (Argolis),Antigonid Kingdom,#CA8A04
1139,Dableis (Bithynia),Antigonid Kingdom,#CA8A04
1142,Gordioukome (Bithynia),Antigonid Kingdom,#CA8A04
1153,Lagania (Bithynia),Antigonid Kingdom,#CA8A04
1159,Peion (Bithynia),Antigonid Kingdom,#CA8A04
3152,Mount Dede (Troas),Antigonid Kingdom,#CA8A04
3153,Kaz Mountains (Troas),Antigonid Kingdom,#CA8A04
3154,Sipylos Mons (Lydia),Antigonid Kingdom,#CA8A04
3155,Mount Nif (Ionia),Antigonid Kingdom,#CA8A04
3156,Latmos Mountains,Antigonid Kingdom,#CA8A04
3157,Marcal Mountains,Antigonid Kingdom,#CA8A04
3158,Parion (Troas),Antigonid Kingdom,#CA8A04
3159,Kolonai (Troas),Antigonid Kingdom,#CA8A04
3160,Kale Peuke (Troas),Antigonid Kingdom,#CA8A04
3161,Skepsis (Troas),Antigonid Kingdom,#CA8A04
3162,Kebren (Troas),Antigonid Kingdom,#CA8A04
3163,Lampsakos (Troas),Antigonid Kingdom,#CA8A04
3164,Abydos (Troas),Antigonid Kingdom,#CA8A04
3165,Ilion (Troas),Antigonid Kingdom,#CA8A04
3166,Alexandria Troas (Troas),Antigonid Kingdom,#CA8A04
3167,Tenedos (Troas),Antigonid Kingdom,#CA8A04
3169,Assos (Troas),Antigonid Kingdom,#CA8A04
3170,Adramytteion (Aeolis),Antigonid Kingdom,#CA8A04
3171,Elateia Aioleias (Aeolis),Antigonid Kingdom,#CA8A04
3172,Elaia (Aeolis),Antigonid Kingdom,#CA8A04
3173,Kyme (Aeolis),Antigonid Kingdom,#CA8A04
3174,Smyrna (Ionia),Antigonid Kingdom,#CA8A04
3175,Teos (Ionia),Antigonid Kingdom,#CA8A04
3176,Erythrai (Ionia),Antigonid Kingdom,#CA8A04
3177,Metropolis Lydias (Ionia),Antigonid Kingdom,#CA8A04
3178,Kolophon (Ionia),Antigonid Kingdom,#CA8A04
3179,Ephesos (Ionia),Antigonid Kingdom,#CA8A04
3180,Priene (Ionia),Antigonid Kingdom,#CA8A04
3185,Idyma (Caria),Antigonid Kingdom,#CA8A04
3187,Sandras Mountain,Antigonid Kingdom,#CA8A04
3470,Ammana (Decapolis),Antigonid Kingdom,#CA8A04
3471,Gerasa (Decapolis),Antigonid Kingdom,#CA8A04
3472,Marisa (Philistia),Antigonid Kingdom,#CA8A04
3473,Lycian Mountains (Lycia),Antigonid Kingdom,#CA8A04
3474,Askalon (Philistia),Antigonid Kingdom,#CA8A04
3475,Azotos (Philistia),Antigonid Kingdom,#CA8A04
3476,Iamneia (Philistia),Antigonid Kingdom,#CA8A04
3477,Joppa (Samaria),Antigonid Kingdom,#CA8A04
3480,Dora (Samaria),Antigonid Kingdom,#CA8A04
3482,Sykaminon (Galilee),Antigonid Kingdom,#CA8A04
3483,Acre (Galilee),Antigonid Kingdom,#CA8A04
3484,Netzer (Galilee),Antigonid Kingdom,#CA8A04
3485,Gaba (Galilee),Antigonid Kingdom,#CA8A04
3486,Ophrah (Galilee),Antigonid Kingdom,#CA8A04
3487,Skythopolis (Decapolis),Antigonid Kingdom,#CA8A04
3488,Philoteria (Galilee),Antigonid Kingdom,#CA8A04
3490,Tarichaia (Galilee),Antigonid Kingdom,#CA8A04
3491,Hippos (Decapolis),Antigonid Kingdom,#CA8A04
3493,Gadara (Decapolis),Antigonid Kingdom,#CA8A04
3495,Edrei (Decapolis),Antigonid Kingdom,#CA8A04
3496,Karneia (Decapolis),Antigonid Kingdom,#CA8A04
3497,Rhaphana (Decapolis),Antigonid Kingdom,#CA8A04
3498,Bostra (Decapolis),Antigonid Kingdom,#CA8A04
3499,Mothana (Decapolis),Antigonid Kingdom,#CA8A04
3500,Kanatha (Decapolis),Antigonid Kingdom,#CA8A04
3501,Mt Hermon (South Phoenicia),Antigonid Kingdom,#CA8A04
3503,Paneias (South Phoenicia),Antigonid Kingdom,#CA8A04
3504,Ekdippa (South Phoenicia),Antigonid Kingdom,#CA8A04
3505,Tyros (South Phoenicia),Antigonid Kingdom,#CA8A04
3506,Abila (South Phoenicia),Antigonid Kingdom,#CA8A04
3509,Berytos (South Phoenicia),Antigonid Kingdom,#CA8A04
3510,Gerrha (South Phoenicia),Antigonid Kingdom,#CA8A04
3511,Brochoi (South Phoenicia),Antigonid Kingdom,#CA8A04
3527,Caria Mountains (Caria),Antigonid Kingdom,#CA8A04
3528,Tempsis Mons (Lydia),Antigonid Kingdom,#CA8A04
3529,Tmolus Mons (Lydia),Antigonid Kingdom,#CA8A04
3531,North Lydian Mountains (Lydia),Antigonid Kingdom,#CA8A04
3533,Mysian Mountains (Mysia),Antigonid Kingdom,#CA8A04
3534,Synaos (Mysia),Antigonid Kingdom,#CA8A04
3612,Trogodos Mons (Cyprus),Antigonid Kingdom,#CA8A04
3613,Zenopolis (Coele Syria),Antigonid Kingdom,#CA8A04
3614,Damaskos (Coele Syria),Antigonid Kingdom,#CA8A04
3615,Aire (Coele Syria),Antigonid Kingdom,#CA8A04
3616,Leukas Chrysorrhoai (Coele Syria),Antigonid Kingdom,#CA8A04
3617,Chalkis Libanon (Coele Syria),Antigonid Kingdom,#CA8A04
3618,Berothai (Coele Syria),Antigonid Kingdom,#CA8A04
3619,Heliopolis (Coele Syria),Antigonid Kingdom,#CA8A04
3620,Iabrouda (Coele Syria),Antigonid Kingdom,#CA8A04
3621,Thelseai (Coele Syria),Antigonid Kingdom,#CA8A04
3622,Leuke Koilas (Coele Syria),Antigonid Kingdom,#CA8A04
3623,Kara (Coele Syria),Antigonid Kingdom,#CA8A04
3624,Oneuatha (Coele Syria),Antigonid Kingdom,#CA8A04
3626,Botyrs (North Phoenicia),Antigonid Kingdom,#CA8A04
3627,Tripolis (North Phoenicia),Antigonid Kingdom,#CA8A04
3628,Arka (North Phoenicia),Antigonid Kingdom,#CA8A04
3631,Pelleta (North Phoenicia),Antigonid Kingdom,#CA8A04
3632,Leuke Akte (North Phoenicia),Antigonid Kingdom,#CA8A04
3633,Posideion (North Phoenicia),Antigonid Kingdom,#CA8A04
3634,Sigon (North Phoenicia),Antigonid Kingdom,#CA8A04
3635,Kone (Apamene),Antigonid Kingdom,#CA8A04
3636,Laodicea Libanon (Apamene),Antigonid Kingdom,#CA8A04
3637,Triparadeisos (Apamene),Antigonid Kingdom,#CA8A04
3638,Korlon (Apamene),Antigonid Kingdom,#CA8A04
3639,Emesa (Apamene),Antigonid Kingdom,#CA8A04
3640,Otthara (Apamene),Antigonid Kingdom,#CA8A04
3641,Amathe (Apamene),Antigonid Kingdom,#CA8A04
3642,Larissa (Apamene),Antigonid Kingdom,#CA8A04
